date,value
2021-08-13,423.12
2021-08-14,419.51
2021-08-15,451.94
2021-08-16,469.1
2021-08-17,441.68
2021-08-18,447.14
2021-08-19,465.32
2021-08-20,465.21
2021-08-21,457.86
2021-08-22,465.18
2021-08-23,465.58
2021-08-24,462.64
2021-08-25,444.73
2021-08-26,443.69
2021-08-27,444.53
2021-08-28,458.46
2021-08-29,458.31
2021-08-30,457.49
2021-08-31,424.01
2021-09-01,429.77
2021-09-02,432.98
2021-09-03,434.39
2021-09-04,432.92
2021-09-05,436.25
2021-09-06,436.06
2021-09-07,433.74
2021-09-08,434.52
2021-09-09,434.18
2021-09-10,431.86
2021-09-11,458.77
2021-09-12,462.93
2021-09-13,454.64
2021-09-14,448.31
2021-09-15,450.66
2021-09-16,448.18
2021-09-17,435.19
2021-09-18,433.32
2021-09-19,430.25
2021-09-20,390.56
2021-09-21,390.96
2021-09-22,388.1
2021-09-23,387.73
2021-09-24,425.27
2021-09-25,422.88
2021-09-26,410.41
2021-09-27,394.54
2021-09-28,405.49
2021-09-29,402.32
2021-09-30,397.77
2021-10-01,396.84
2021-10-02,395.5
2021-10-03,384.38
2021-10-04,380.92
2021-10-05,380.35
2021-10-06,378.07
2021-10-07,375.88
2021-10-08,374.95
2021-10-09,391.61
2021-10-10,391.09
2021-10-11,386.63
2021-10-12,380.87
2021-10-13,379.88
2021-10-14,377.25
2021-10-15,385.48
2021-10-16,383.13
2021-10-17,384.95
2021-10-18,391.86
2021-10-19,407.23
2021-10-20,410.38
2021-10-21,408.94
2021-10-22,421.17
2021-10-23,426
2021-10-24,423.1
2021-10-25,441.98
2021-10-26,448.05
2021-10-27,439.05
2021-10-28,439.86
2021-10-29,425.55
2021-10-30,427.72
2021-10-31,432.15
2021-11-01,434.23
2021-11-02,435.68
2021-11-03,441.51
2021-11-04,439.65
2021-11-05,435.92
2021-11-06,425.37
2021-11-07,425.18
2021-11-08,411.26
2021-11-09,411.91
2021-11-10,415.92
2021-11-11,416.24
2021-11-12,416.03
2021-11-13,417.51
2021-11-14,423.93
2021-11-15,421.8
2021-11-16,416.6
2021-11-17,416.68
2021-11-18,418.13
2021-11-19,417.69
2021-11-20,421
2021-11-21,420.55
2021-11-22,410.98
2021-11-23,414.63
2021-11-24,413.42
2021-11-25,418.38
2021-11-26,419.27
2021-11-27,418.68
2021-11-28,418.08
2021-11-29,418.99
2021-11-30,428.8
2021-12-01,426.86
2021-12-02,426.2
2021-12-03,416.83
2021-12-04,418.37
2021-12-05,418.17
2021-12-06,422.08
2021-12-07,421.58
2021-12-08,422.34
2021-12-09,424.26
2021-12-10,424.53
2021-12-11,423.66
2021-12-12,425.36
2021-12-13,420.89
2021-12-14,422.44
2021-12-15,422.74
2021-12-16,427.28
2021-12-17,426.66
2021-12-18,425.37
2021-12-19,429.93
2021-12-20,432.63
2021-12-21,431.37
2021-12-22,429.27
2021-12-23,436.02
2021-12-24,443.05
2021-12-25,450.55
2021-12-26,449.81
2021-12-27,450.28
2021-12-28,460.15
2021-12-29,466.62
2021-12-30,467.96
2021-12-31,467.08
2022-01-01,449.55
2022-01-02,455.38
2022-01-03,455.59
2022-01-04,452.48
2022-01-05,452.44
2022-01-06,451.1
2022-01-07,450.38
2022-01-08,448.51
2022-01-09,461.38
2022-01-10,460.68
2022-01-11,459.42
2022-01-12,462.48
2022-01-13,461.93
2022-01-14,454.58
2022-01-15,454.95
2022-01-16,457.06
2022-01-17,456.84
2022-01-18,458.69
2022-01-19,458.2
2022-01-20,455.07
2022-01-21,456
2022-01-22,454.63
2022-01-23,444.05
2022-01-24,443.78
2022-01-25,443.43
2022-01-26,444.35
2022-01-27,447.1
2022-01-28,450.3
2022-01-29,453.64
2022-01-30,478.15
2022-01-31,533.47
2022-02-01,553.96
2022-02-02,544.35
2022-02-03,546.62
2022-02-04,543.08
2022-02-05,540.35
2022-02-06,574.64
2022-02-07,590.13
2022-02-08,582.81
2022-02-09,586.47
2022-02-10,590.26
2022-02-11,582.84
2022-02-12,582.2
2022-02-13,579.13
2022-02-14,607.12
2022-02-15,684.84
2022-02-16,716
2022-02-17,704.5
2022-02-18,696.3
2022-02-19,773.72
2022-02-20,775.36
2022-02-21,777.99
2022-02-22,766.62
2022-02-23,764.08
2022-02-24,735.88
2022-02-25,678.67
2022-02-26,629.33
2022-02-27,681.73
2022-02-28,691.73
2022-03-01,665.98
2022-03-02,655.27
2022-03-03,659.25
2022-03-04,644.68
2022-03-05,675.4
2022-03-06,686.15
2022-03-07,703.7
2022-03-08,704.97
2022-03-09,683.66
2022-03-10,683.49
2022-03-11,681.9
2022-03-12,682.43
2022-03-13,666.71
2022-03-14,666.38
2022-03-15,652.29
2022-03-16,659.63
2022-03-17,675.26
2022-03-18,668.7
2022-03-19,662.9
2022-03-20,667.08
2022-03-21,666.46
2022-03-22,682.37
2022-03-23,681.55
2022-03-24,673.28
2022-03-25,672.93
2022-03-26,666.22
2022-03-27,666.58
2022-03-28,656.37
2022-03-29,663.11
2022-03-30,661.83
2022-03-31,656.23
2022-04-01,657.46
2022-04-02,657.6
2022-04-03,657.8
2022-04-04,658.22
2022-04-05,655.28
2022-04-06,626.12
2022-04-07,612.85
2022-04-08,573.36
2022-04-09,579.5
2022-04-10,578.28
2022-04-11,588.4
2022-04-12,597.51
2022-04-13,592.99
2022-04-14,591.09
2022-04-15,599.98
2022-04-16,597.54
2022-04-17,589.91
2022-04-18,589.77
2022-04-19,585.67
2022-04-20,573.58
2022-04-21,581.74
2022-04-22,580.89
2022-04-23,577.79
2022-04-24,578.24
2022-04-25,582.82
2022-04-26,584.16
2022-04-27,588.45
2022-04-28,589.47
2022-04-29,583.59
2022-04-30,580.45
2022-05-01,580.62
2022-05-02,579.85
2022-05-03,574.04
2022-05-04,576.28
2022-05-05,578.36
2022-05-06,577.86
2022-05-07,576.31
2022-05-08,575.64
2022-05-09,599.5
2022-05-10,611.84
2022-05-11,609.05
2022-05-12,610.83
2022-05-13,614.54
2022-05-14,628.77
2022-05-15,626.83
2022-05-16,625.1
2022-05-17,628.82
2022-05-18,608.46
2022-05-19,611.19
2022-05-20,611.95
2022-05-21,611.09
2022-05-22,609.26
2022-05-23,607.86
2022-05-24,610.16
2022-05-25,610.93
2022-05-26,609.52
2022-05-27,603.59
2022-05-28,598.49
2022-05-29,603.21
2022-05-30,604.58
2022-05-31,603.38
2022-06-01,608.14
2022-06-02,608.25
2022-06-03,606.59
2022-06-04,606.82
2022-06-05,609.74
2022-06-06,615.24
2022-06-07,614
2022-06-08,612.57
2022-06-09,612.05
2022-06-10,613.81
2022-06-11,613.82
2022-06-12,617.91
2022-06-13,619.85
2022-06-14,619.2
2022-06-15,621.32
2022-06-16,642.08
2022-06-17,641.34
2022-06-18,638.83
2022-06-19,641.28
2022-06-20,642.1
2022-06-21,642.9
2022-06-22,642.33
2022-06-23,640.74
2022-06-24,638.87
2022-06-25,631.92
2022-06-26,634.09
2022-06-27,658.2
2022-06-28,661.13
